Journal name,ISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
ALLERGY,1398-9995,ALLERGY - SCIE,25131,13.146,Q1,2.11,22.98%
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,1097-6825,ALLERGY - SCIE,63614,10.793,Q1,2.35,18.04%
Journal of Allergy and Clinical Immunology-In Practice,2213-2201,ALLERGY - SCIE,9255,8.861,Q1,1.55,9.93%
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,1559-0267,ALLERGY - SCIE,4546,8.667,Q1,1.27,7.84%
CONTACT DERMATITIS,1600-0536,ALLERGY - SCIE,7973,6.6,Q1,1.21,13.98%
PEDIATRIC ALLERGY AND IMMUNOLOGY,1399-3038,ALLERGY - SCIE,5778,6.377,Q1,1.53,13.39%
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,1534-4436,ALLERGY - SCIE,10809,6.347,Q1,0.92,10.32%
Clinical and Translational Allergy,2045-7022,ALLERGY - SCIE,1661,5.871,Q2,0.97,100%
ALLERGOLOGY INTERNATIONAL,1440-1592,ALLERGY - SCIE,3122,5.836,Q2,0.9,100%
Allergy Asthma & Immunology Research,2092-7363,ALLERGY - SCIE,2345,5.764,Q2,0.98,52.85%
CLINICAL AND EXPERIMENTAL ALLERGY,1365-2222,ALLERGY - SCIE,12339,5.018,Q2,1.01,21.14%
CURRENT ALLERGY AND ASTHMA REPORTS,1534-6315,ALLERGY - SCIE,3395,4.806,Q2,0.62,6.60%
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,1698-0808,ALLERGY - SCIE,2703,4.333,Q2,0.55,0%
Journal of Asthma and Allergy,1178-6965,ALLERGY - SCIE,882,4.258,Q2,0.75,100%
World Allergy Organization Journal,1939-4551,ALLERGY - SCIE,2492,4.084,Q3,0.69,100%
IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,1557-8607,ALLERGY - SCIE,2188,3.479,Q3,0.73,3.52%
Allergy Asthma and Clinical Immunology,1710-1492,ALLERGY - SCIE,1784,3.406,Q3,0.47,100%
Current Opinion in Allergy and Clinical Immunology,1473-6322,ALLERGY - SCIE,3557,3.142,Q3,0.5,0.83%
INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,1423-0097,ALLERGY - SCIE,5908,2.749,Q3,0.67,6.85%
ALLERGY AND ASTHMA PROCEEDINGS,1539-6304,ALLERGY - SCIE,2428,2.587,Q3,0.67,0%
JOURNAL OF ASTHMA,1532-4303,ALLERGY - SCIE,5004,2.515,Q3,0.56,7.50%
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,2228-8694,ALLERGY - SCIE,1359,2.31,Q4,0.27,0%
Postepy Dermatologii i Alergologii,1642-395X,ALLERGY - SCIE,1308,1.837,Q4,0.39,100%
ALLERGOLOGIA ET IMMUNOPATHOLOGIA,1578-1267,ALLERGY - SCIE,1543,1.667,Q4,0.32,0%
Iranian Journal of Allergy Asthma and Immunology,1735-5249,ALLERGY - SCIE,900,1.464,Q4,0.25,100%
Pediatric Allergy Immunology and Pulmonology,2151-3228,ALLERGY - SCIE,376,1.349,Q4,0.26,5.15%
Revue Francaise d Allergologie,1877-0320,ALLERGY - SCIE,309,0.288,Q4,0.05,0.93%
ALLERGOLOGIE,0344-5062,ALLERGY - SCIE,118,0.191,Q4,0.03,0.63%
World Journal of Mens Health,2287-4690,ANDROLOGY - SCIE,948,5.4,Q1,1.19,100%
Andrology,2047-2927,ANDROLOGY - SCIE,3870,3.842,Q1,1.33,8.42%
ASIAN JOURNAL OF ANDROLOGY,1745-7262,ANDROLOGY - SCIE,5215,3.285,Q2,1,100%
Translational Andrology and Urology,2223-4691,ANDROLOGY - SCIE,2494,3.15,Q2,0.64,85.76%
Systems Biology in Reproductive Medicine,1939-6376,ANDROLOGY - SCIE,1278,3.061,Q3,0.9,2.68%
ANDROLOGIA,1439-0272,ANDROLOGY - SCIE,5336,2.775,Q3,0.99,2%
Basic and Clinical Andrology,2051-4190,ANDROLOGY - SCIE,310,2.688,Q4,0.98,100%
Revista Internacional de Andrologia,1698-031X,ANDROLOGY - SCIE,147,1.063,Q4,0.27,0%
JOURNAL OF CLINICAL ANESTHESIA,1873-4529,ANESTHESIOLOGY - SCIE,5577,9.452,Q1,1.48,2.68%
BRITISH JOURNAL OF ANAESTHESIA,1471-6771,ANESTHESIOLOGY - SCIE,27510,9.166,Q1,2.5,7.64%
ANESTHESIOLOGY,1528-1175,ANESTHESIOLOGY - SCIE,33319,7.892,Q1,2.56,1.13%
PAIN,1872-6623,ANESTHESIOLOGY - SCIE,45325,6.961,Q1,1.85,8.63%
ANAESTHESIA,1365-2044,ANESTHESIOLOGY - SCIE,13711,6.955,Q1,2.12,17.54%
REGIONAL ANESTHESIA AND PAIN MEDICINE,1532-8651,ANESTHESIOLOGY - SCIE,7161,6.288,Q1,1.93,6.79%
ANESTHESIA AND ANALGESIA,0003-2999,ANESTHESIOLOGY - SCIE,31391,5.108,Q1,1.62,2.91%
Canadian Journal of Anesthesia-Journal canadien d anesthesie,1496-8975,ANESTHESIOLOGY - SCIE,8032,5.063,Q1,1.12,5.04%
Pain Physician,1533-3159,ANESTHESIOLOGY - SCIE,6424,4.965,Q2,1.08,0%
EUROPEAN JOURNAL OF ANAESTHESIOLOGY,1365-2346,ANESTHESIOLOGY - SCIE,5302,4.33,Q2,1.5,3.67%
Anaesthesia Critical Care & Pain Medicine,2352-5568,ANESTHESIOLOGY - SCIE,1101,4.132,Q2,0.88,15.51%
JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,1537-1921,ANESTHESIOLOGY - SCIE,1988,3.956,Q2,1.04,1.47%
EUROPEAN JOURNAL OF PAIN,1532-2149,ANESTHESIOLOGY - SCIE,9204,3.931,Q2,1.15,17.86%
PAIN MEDICINE,1526-4637,ANESTHESIOLOGY - SCIE,10086,3.75,Q2,1.05,7.94%
Perioperative Medicine,2047-0525,ANESTHESIOLOGY - SCIE,497,3.535,Q2,1.16,100%
CLINICAL JOURNAL OF PAIN,1536-5409,ANESTHESIOLOGY - SCIE,8589,3.442,Q2,1,5.54%
Pain Practice,1533-2500,ANESTHESIOLOGY - SCIE,3187,3.183,Q3,0.93,7.74%
Minerva Anestesiologica,1827-1596,ANESTHESIOLOGY - SCIE,3446,3.051,Q3,0.74,0%
Current Opinion in Anesthesiology,1473-6500,ANESTHESIOLOGY - SCIE,3336,2.706,Q3,0.63,0.87%
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,1532-8422,ANESTHESIOLOGY - SCIE,7080,2.628,Q3,0.58,2.07%
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,1532-3374,ANESTHESIOLOGY - SCIE,2060,2.603,Q3,0.76,1.02%
PEDIATRIC ANESTHESIA,1460-9592,ANESTHESIOLOGY - SCIE,5810,2.556,Q3,0.95,6.36%
JOURNAL OF CLINICAL MONITORING AND COMPUTING,1573-2614,ANESTHESIOLOGY - SCIE,2519,2.502,Q3,0.87,17.70%
Best Practice & Research-Clinical Anaesthesiology,1878-1608,ANESTHESIOLOGY - SCIE,1730,2.431,Q3,0.72,1.50%
BMC Anesthesiology,1471-2253,ANESTHESIOLOGY - SCIE,2964,2.217,Q4,0.71,100%
ACTA ANAESTHESIOLOGICA SCANDINAVICA,1399-6576,ANESTHESIOLOGY - SCIE,7801,2.105,Q4,0.8,14.04%
Journal of Anesthesia,1438-8359,ANESTHESIOLOGY - SCIE,2733,2.078,Q4,0.7,5.78%
ANAESTHESIA AND INTENSIVE CARE,1448-0271,ANESTHESIOLOGY - SCIE,2957,1.669,Q4,0.41,1.04%
SCHMERZ,1432-2129,ANESTHESIOLOGY - SCIE,935,1.107,Q4,0.37,9.15%
ANAESTHESIST,1432-055X,ANESTHESIOLOGY - SCIE,1540,1.041,Q4,0.42,11.44%
ANASTHESIOLOGIE & INTENSIVMEDIZIN,1439-0256,ANESTHESIOLOGY - SCIE,475,1,Q4,0.19,0.47%
Revista Brasileira de Anestesiologia,1806-907X,ANESTHESIOLOGY - SCIE,1288,0.964,Q4,0.32,100%
ANASTHESIOLOGIE INTENSIVMEDIZIN NOTFALLMEDIZIN SCHMERZTHERAPIE,1439-1074,ANESTHESIOLOGY - SCIE,439,0.698,Q4,0.18,0%
